[2024-07-16 23:12:52,087 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 01: Open Register Page
[2024-07-16 23:12:53,309 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 02: Click to Male Radio Button
[2024-07-16 23:12:53,574 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 03: Enter to Firstname textbox with valuePhượng
[2024-07-16 23:12:53,684 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 04: Enter to lastname textbox with valueNguyễn
[2024-07-16 23:12:53,747 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 05: select Day dropdown with value19
[2024-07-16 23:12:54,018 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 06: Select Month dropdown with valueJanuary
[2024-07-16 23:12:54,268 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 07: Select Year dropdown with value1989
[2024-07-16 23:12:54,540 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 08: Enter to Email textbox with valuephuong23117@gmail.com
[2024-07-16 23:12:54,587 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 09: Enter to Company textbox with valuePhuongNTACompany
[2024-07-16 23:12:54,647 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 10: Enter to Password textbox with value123456
[2024-07-16 23:12:54,696 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 11: Enter to Confirm Password textbox with value123456
[2024-07-16 23:12:54,759 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 12: Click to Register Button
[2024-07-16 23:12:55,658 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 13: Verify success message is displayed
[2024-07-16 23:12:55,763 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 14: Click to Logout Link
[2024-07-16 23:16:27,830 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 01: Open Register Page
[2024-07-16 23:16:28,966 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 02: Click to Male Radio Button
[2024-07-16 23:16:29,235 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 03: Enter to Firstname textbox with valuePhượng
[2024-07-16 23:16:29,400 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 04: Enter to lastname textbox with valueNguyễn
[2024-07-16 23:16:29,459 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 05: select Day dropdown with value19
[2024-07-16 23:16:29,727 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 06: Select Month dropdown with valueJanuary
[2024-07-16 23:16:30,026 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 07: Select Year dropdown with value1989
[2024-07-16 23:16:30,289 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 08: Enter to Email textbox with valuephuong49241@gmail.com
[2024-07-16 23:16:30,342 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 09: Enter to Company textbox with valuePhuongNTACompany
[2024-07-16 23:16:30,398 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 10: Enter to Password textbox with value123456
[2024-07-16 23:16:30,454 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 11: Enter to Confirm Password textbox with value123456
[2024-07-16 23:16:30,516 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 12: Click to Register Button
[2024-07-16 23:16:31,267 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 13: Verify success message is displayed
[2024-07-16 23:16:31,366 INFO com.nopcommerce.users.Level_14_Log4j] - User_01_Register - STEP 14: Click to Logout Link
